"shortname","category","page_count","file_count","url_count"
"PE158-s20 (Staff)",110,0,0,0
"PE159-00-s20",110,0,4,0
"PE160-00-s20",110,0,0,0
"PE161-00-s20",110,0,0,0
"PE167-00-s20",110,0,0,0
"PE168-00-s20",110,0,0,0
"PE171-00-s20",110,0,0,0
"PE172-01-s20",110,0,0,0
"PE172-02-s20",110,0,0,0
"PE172-s20 (Plotz)",110,0,0,0
"PE173-00-s20",110,0,0,0
"PE175-00-s20",110,0,0,0
"PE176-00-s20",110,0,0,0
"PE178-00-s20",110,0,0,0
"PE188-00-s20",110,0,0,0
"PE190-01-s20",110,0,0,0
"PE190-02-s20",110,0,0,0
"PE194-00-s20",110,0,0,0
"PE197-00-s20",110,0,0,0
"PE198-00-s20",110,0,0,0
"PE205-00-s20",110,0,0,0
"PE210-00-s20",110,0,0,0
"PE219-00-s20",110,0,0,0
"PE227-00-s20",110,0,0,0
"PE228-00-s20",110,0,0,0
"PE244-00-s20",110,0,0,0
"PE258-00-s20",110,0,0,0
"PE259-00-s20",110,0,0,0
"PE271-00-s20",110,0,0,0
"PE282-00-s20",110,0,0,0
"PE283-00-s20",110,0,0,0
"PE284-00-s20",110,0,0,0
"PE288-00-s20",110,0,0,0
"PE289-00-s20",110,0,0,0
"PE293-00-s20",110,0,0,0
"pe316-00-s20",110,0,10,0
"phil113-00-s20",110,1,7,29
"phil115-00-s20",110,0,61,32
"phil217-00-s20",110,1,8,26
"phil222-00-s20",110,4,0,5
"phil223-00-s20",110,0,1,0
"phil272-00-s20",110,0,34,26
"phil305-00-s20",110,0,4,0
"phil400-00-s20",110,0,0,0
"phys123-00-s20",110,6,10,4
"phys143-59-s20",110,46,21,1
"phys145-51-s20",110,0,0,0
"phys145-54-s20",110,48,53,0
"phys232-00-s20",110,0,0,0
"phys234-00-s20",110,2,10,4
"phys235-52-s20",110,0,0,0
"PHYS235-54-s20",110,0,0,0
"phys235-57-s20",110,0,0,0
"phys235-59-s20",110,0,0,0
"PHYS235-s20 (Baylor)",110,0,0,0
"PHYS235-s20 (Minsky)",110,0,119,1
"phys342-52-s20",110,0,0,0
"phys342-54-s20",110,0,0,0
"PHYS342-59-s20",110,0,0,0
"PHYS342-s20 (Costanzi)",110,0,0,0
"PHYS342-s20 (Terrien)",110,9,10,25
"phys352-00-s20",110,0,0,13
"phys400-01-s20",110,0,0,0
"phys400-02-s20",110,0,15,3
"phys400-03-s20",110,0,0,0
"phys400-04-s20",110,0,0,0
"phys400-05-s20",110,0,0,0
"phys400-06-s20",110,0,0,0
"phys400-08-s20",110,0,0,0
"phys400-09-s20",110,0,0,0
"posc120-00-s20",110,9,25,25
"posc122-00-s20",110,57,5,10
"posc160-00-s20",110,0,6,0
"posc170-00-s20",110,0,0,0
"posc210-00-s20",110,0,23,6
"posc210-02-s20",110,0,23,6
"POSC210-s20",110,0,0,0
"posc213-00-s20",110,52,18,18
"posc221-00-s20",110,0,25,0
"posc230-00-s20",110,3,11,13
"posc231-00-s20",110,0,1,17
"posc232-00-s20",110,0,0,0
"posc260-00-s20",110,0,0,0
"posc275-00-s20",110,0,20,26
"posc300-11-s20",110,0,0,0
"posc302-00-s20",110,0,22,2
"posc314-00-s20",110,2,4,7
"posc324-00-s20",110,0,9,2
"posc348-00-s20",110,0,0,0
"posc350-00-s20",110,0,0,0
"posc400-01-s20",110,0,0,0
"posc400-05-s20",110,0,0,0
"posc400-08-s20",110,0,0,0
"posc400-11-s20",110,0,0,3
"posc400-12-s20",110,0,0,0
"posc400-13-s20",110,0,0,0
"posc400-14-s20",110,0,0,0
"posc400-15-s20",110,0,0,0
"psyc110-01-s20",110,10,10,28
"psyc110-02-s20",110,0,42,22
"PSYC110-s20 (Akimoto)",110,0,0,0
"PSYC110-s20 (Van Der Wege)",110,0,0,0
"psyc218-00-s20",110,10,11,16
"psyc220-00-s20",110,27,65,2
"psyc221-01-s20",110,1,1,0
"psyc221-02-s20",110,0,0,0
"PSYC221-s20 (Strand)",110,1,3,0
"psyc260-00-s20",110,1,5,1
"psyc261-01-s20",110,0,0,0
"psyc261-02-s20",110,0,0,0
"PSYC261-s20 (Flores-Montoya)",110,0,8,0
"psyc300-11-s20",110,0,0,0
"psyc300-12-s20",110,0,0,1
"psyc365-00-s20",110,20,43,23
"psyc373-00-s20",110,0,41,1
"psyc375-00-s20",110,16,2,27
"psyc382-00-s20",110,0,46,12
"PSYC400-s20",110,0,1,3
"relg110-00-s20",110,6,44,31
"relg121-00-s20",110,1,18,6
"relg153-00-s20",110,1,30,18
"relg161-00-s20",110,0,7,0
"relg231-00-s20",110,3,85,20
"relg234-00-s20",110,0,31,8
"RELG241-00-s20",110,0,0,0
"relg243-00-s20",110,0,42,6
"relg264-00-s20",110,0,12,0
"relg271-00-s20",110,0,24,0
"RELG287-00-s20",110,0,0,0
"relg289-00-s20",110,5,60,10
"RELG322-00-s20",110,0,0,0
"relg362-00-s20",110,1,30,4
"relg400-00-s20",110,0,0,0
"russ103-01-s20",110,0,0,0
"RUSS103-02-s20",110,0,0,0
"RUSS103-s20 (Dotlibova)",110,0,0,0
"RUSS103-s20 (Goering)",110,160,116,54
