shortname,category,assign_count,chat_count,choice_count,database_count,feedback_count,file_count,folder_count,forum_count,glossary_count,label_count,languagelesson_count,lesson_count,lti_count,page_count,quiz_count,scorm_count,survey_count,url_count,wiki_count,workshop_count
CHEM230L-52-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CHEM230L-54-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CHEM230L-59-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CHEM230L-WL2-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CHEM230L-WL4-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CHEM230L-WL9-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CHEM234-00-S16,86,15,0,2,0,0,68,1,1,0,16,0,0,0,0,0,0,0,2,0,0
CHEM234L-52-S16,86,8,0,0,0,0,19,0,1,0,17,0,0,0,0,0,0,0,2,0,0
CHEM234L-57-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CHEM292-11-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CHEM306-01-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CHEM306-02-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CHEM320-00-S16,86,5,0,1,0,0,42,1,1,0,6,0,0,0,0,0,0,0,0,0,0
CHEM321-01-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CHEM321-02-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
chem321-s16,86,0,0,0,0,0,12,0,1,0,3,0,0,0,0,0,0,0,2,0,0
CHEM350-00-S16,86,11,0,0,0,0,32,0,1,0,1,0,0,0,32,0,0,0,0,0,0
CHEM351-00-S16,86,19,0,0,0,0,106,0,1,0,6,0,0,0,0,0,0,0,14,0,0
CHEM352-01-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CHEM352-02-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CHEM352-03-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CHEM352-04-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CHEM362-00-S16,86,5,0,0,0,0,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CHEM390-11-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CHEM392-11-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CHEM394-00-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CHEM394-11-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CHEM394-12-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CHEM394-13-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CHEM394-14-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CHEM394-15-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CHEM394-16-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CHEM394-18-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CHEM394-19-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CHEM394-20-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CHEM394-21-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CHEM394-22-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CHEM394-23-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CHEM400-01-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CHEM400-02-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CHEM400-03-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CHEM400-04-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CHIN103-00-S16,86,0,0,0,0,0,10,1,1,0,0,19,0,0,1,0,0,0,25,0,0
CHIN103-01-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CHIN103-02-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CHIN206-00-S16,86,0,0,0,0,0,10,0,2,0,0,5,0,0,4,0,0,0,17,0,0
CHIN349-00-S16,86,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,4,0,0
CHINA400-00-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
clas111-00-s16,86,5,0,0,0,0,43,0,14,0,7,0,0,0,9,0,0,0,7,0,0
CLAS228-00-S16,86,10,0,1,0,0,178,1,2,0,76,0,0,0,0,0,0,0,23,0,0
COGSC400-00-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CS111-01-S16,86,21,0,0,0,0,5,0,3,0,40,0,0,0,53,0,0,0,2,0,0
CS111-02-S16,86,14,0,0,0,0,12,0,1,0,0,0,0,0,5,0,0,0,3,0,0
CS111-03-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CS111-WL1-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CS111-WL2-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CS201-01-S16,86,11,0,0,0,0,35,2,2,0,4,0,0,0,2,0,0,0,2,0,0
CS201-02-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CS201-WL1-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CS202-00-S16,86,37,0,0,0,0,48,0,3,0,40,0,0,0,22,0,0,0,2,0,0
CS251-00-S16,86,30,0,0,0,0,5,0,2,0,7,0,0,1,4,1,0,0,21,0,0
CS254-00-S16,86,1,0,0,0,0,37,0,1,0,3,0,0,1,1,0,0,0,5,0,0
CS257-00-S16,86,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
CS291-11-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CS291-12-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CS328-00-S16,86,13,0,0,0,1,31,1,2,0,25,0,0,1,4,0,0,0,9,0,0
CS332-00-S16,86,13,0,0,0,0,11,0,2,0,0,0,0,0,4,0,0,0,0,0,0
CS338-00-S16,86,8,0,0,0,0,19,0,2,0,1,0,0,0,5,0,0,0,2,0,0
CS338L-59-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CS391-11-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CS391-12-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CS392-11-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CS392-12-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CS392-13-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CS392-14-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CS392-15-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CS400-00-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DANC107-00-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DANC147-00-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DANC148-00-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DANC190-00-S16,86,24,0,0,0,0,7,0,1,0,2,0,0,0,9,0,0,0,113,0,0
DANC200-00-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DANC206-00-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DANC208-00-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DANC291-11-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0
DANC300-00-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DANC309-00-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DANC350-00-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DANCE400-00-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ECON110-01-S16,86,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ECON110-02-S16,86,13,0,0,0,0,47,0,0,0,1,0,0,0,0,25,0,0,0,0,0
ECON110-03-S16,86,0,0,0,0,0,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ECON111-01-S16,86,3,0,0,0,0,31,1,3,0,38,0,0,0,4,2,0,0,51,0,0
ECON111-02-S16,86,5,0,0,0,0,129,0,2,0,0,0,0,0,0,0,0,0,29,0,0
ECON111-03-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ECON269-00-S16,86,10,0,0,0,0,41,0,0,0,4,0,0,0,0,24,0,0,0,0,0
ECON271-00-S16,86,9,0,0,0,0,65,1,1,0,69,0,0,0,0,0,0,0,63,0,0
ECON275-00-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ECON276-00-S16,86,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ECON282-00-S16,86,0,0,0,0,0,7,4,2,0,0,0,0,0,0,0,0,0,0,0,0
ECON284-00-S16,86,2,0,0,0,0,47,1,1,0,0,0,0,0,0,0,0,0,4,0,0
ECON291-01-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ECON329-00-S16,86,0,0,0,0,0,19,0,1,0,0,0,0,0,0,0,0,0,1,0,0
ECON329-02-S16,86,3,0,1,0,0,20,0,1,0,0,0,0,0,0,0,0,0,2,0,0
ECON331-00-S16,86,0,0,0,0,0,13,5,2,0,0,0,0,0,0,0,0,0,0,0,0
ECON392-11-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ECON400-01-S16,86,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ECON400-02-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ECON400-03-S16,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
