shortname,category,Assignment,Chat,Choice,Database,Feedback,Folder,Forum,Glossary,Label,Language Lesson,Lesson,LTI,Quiz,SCORM,Survey,Wiki,Workshop
CHEM391-11-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEM394-00-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHIN101-01-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CHIN101-02-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
chin101-f15,84,0,0,0,0,0,0,1,0,0,23,0,0,0,0,0,0,0
CHIN204-01-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CHIN204-02-F15,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
chin204-f15,84,0,0,0,0,0,0,2,0,0,16,0,0,0,0,0,0,0
CHIN248-00-F15,84,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0
CHIN280-00-F15,84,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0
CHIN301S-00-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHINA400-00-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLAS100-00-F15,84,7,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
CLAS394-00-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS111-01-F15,84,17,0,0,0,1,0,26,0,34,0,0,1,0,0,0,0,0
CS111-02-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS111-03-F15,84,22,0,0,0,0,2,2,0,2,0,0,0,3,0,0,0,0
CS111-WL1-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS111-WL2-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS201-00-F15,84,32,0,0,0,0,0,1,0,30,0,0,0,3,0,0,0,0
CS202-00-F15,84,27,0,0,0,0,0,1,0,29,0,0,0,0,0,0,0,0
CS208-00-F15,84,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CS251-00-F15,84,29,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0
CS252-00-F15,84,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
CS254-00-F15,84,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0
CS322-00-F15,84,13,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0
CS331-00-F15,84,34,0,0,0,0,0,12,0,28,0,0,0,0,0,0,1,0
CS399-01-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS399-02-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS399-03-F15,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
