"shortname","category","assign_count","chat_count","choice_count","database_count","feedback_count","folder_count","forum_count","glossary_count","label_count","languagelesson_count","lesson_count","lti_count","quiz_count","scorm_count","survey_count","wiki_count","workshop_count"
"careerkick-w16A",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"careerkick-w16B",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Carleton Choir W16",85,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0
"CCST270-00-W16",85,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"CCST275-00-W16",85,20,0,0,0,0,28,1,0,38,0,0,0,0,0,0,0,0
"CGSC232-00-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CGSC233-01-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CGSC233-02-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CGSC392-11-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CHEM123-01-W16",85,22,0,0,0,1,2,2,0,11,0,0,0,0,0,0,0,0
"CHEM123-02-W16",85,21,0,1,0,1,1,1,0,26,0,0,0,0,0,0,0,0
"CHEM123L-52-W16",85,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"CHEM123L-54-W16",85,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CHEM123L-57-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CHEM123L-59-W16",85,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"chem233-00-w16",85,33,0,0,0,0,9,1,0,92,0,0,0,3,0,0,0,0
"CHEM233L-54-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CHEM233L-59-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CHEM234-00-W16",85,15,0,1,0,0,1,1,0,3,0,0,0,0,0,0,0,0
"CHEM234L-52-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CHEM234L-54-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CHEM234L-57-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CHEM234L-W16",85,8,0,0,0,0,0,1,0,14,0,0,0,0,0,0,0,0
"CHEM302-01-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CHEM302-02-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CHEM302-03-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CHEM302-04-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CHEM302-05-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CHEM302-W16",85,6,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0
"CHEM330-00-W16",85,20,0,0,0,2,5,12,0,0,0,0,0,0,0,0,0,0
"CHEM331-01-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CHEM331-02-W16",85,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"CHEM344-00-W16",85,11,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"CHEM359-00-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CHEM394-00-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CHEM400-01-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CHEM400-02-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CHEM400-03-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CHEM400-04-W16",85,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0
"CHIN102-00-W16",85,0,0,0,0,0,0,4,0,0,18,0,0,0,0,0,0,0
"CHIN102-01-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CHIN102-02-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"chin102-w16 Language Lessons",85,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0
"CHIN205-01-W16",85,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,0
"CHIN205-02-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CHIN240-00-W16",85,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0
"CHIN355-00-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CHINA400-00-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CLAS123-00-W16",85,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
"CLAS173-00-W16",85,5,0,0,0,0,0,1,0,41,0,0,0,0,0,0,0,0
"CLAS214-00-W16",85,6,0,0,0,0,3,1,0,3,0,0,0,0,0,0,0,0
"CLAS400-00-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"COGSC400-00-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CS111-01-W16",85,17,0,0,0,1,2,26,0,37,0,1,1,16,0,0,0,0
"CS111-02-W16",85,19,0,0,0,0,8,2,0,27,0,0,0,0,0,0,0,0
"CS111-WL1-W16",85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
