"shortname","category","assign_count","chat_count","choice_count","database_count","feedback_count","folder_count","forum_count","glossary_count","label_count","languagelesson_count","lesson_count","lti_count","quiz_count","scorm_count","survey_count","wiki_count","workshop_count"
"cs400-04-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"cs400-05-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"cs400-06-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"cs400-08-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"cs400-09-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CS400-s20 (Musicant)",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CS400-s20 (Narayan)",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"danc107-00-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"danc147-00-s20",110,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"danc148-00-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"danc200-00-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"danc206-00-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"danc208-00-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"danc291-s20 (Ballet History)",110,46,0,0,0,0,0,1,0,14,0,0,0,0,0,0,0,0
"danc291-s20 (Dance Pedagogy)",110,11,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"danc309-00-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"danc310-00-s20",110,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"danc350-00-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"dance400-00-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"dgah398-00-s20",110,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"econ110-01-s20",110,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"econ110-02-s20",110,21,0,0,0,8,5,2,0,0,0,0,0,21,0,0,0,0
"econ110-03-s20",110,17,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"econ111-01-s20",110,0,0,0,0,0,0,2,0,3,0,0,0,1,0,0,0,0
"econ111-02-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"econ111-03-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ECON111-s20",110,0,0,0,0,0,0,30,0,31,0,0,1,0,0,0,0,0
"econ265-00-s20",110,24,0,0,0,0,9,4,0,2,0,0,0,0,0,0,0,0
"econ271-00-s20",110,13,0,1,0,0,0,12,0,11,0,0,0,4,0,0,0,0
"econ276-00-s20",110,25,0,0,0,1,1,2,0,0,0,0,0,26,0,0,0,0
"econ280-00-s20",110,0,0,0,0,0,0,21,0,9,0,0,10,9,0,0,0,0
"ECON281-00-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"econ282-00-s20",110,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ECON292-11-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"econ329-00-s20",110,15,0,0,0,0,0,16,0,13,0,0,0,2,0,0,0,0
"econ331-00-s20",110,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"econ400-01-s20",110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
